GO.ID	Term	Annotated	Significant	Expected	classicFisher	Ontology
GO:0044281	small molecule metabolic process	1012	141	73.8	1.3e-17	BP
GO:0017144	drug metabolic process	387	69	28.22	3.4e-13	BP
GO:0055114	oxidation-reduction process	519	83	37.85	4.5e-13	BP
GO:0019752	carboxylic acid metabolic process	534	84	38.94	8.1e-13	BP
GO:0006082	organic acid metabolic process	557	86	40.62	1.2e-12	BP
GO:0043436	oxoacid metabolic process	553	85	40.33	2.1e-12	BP
GO:0055086	nucleobase-containing small molecule met...	451	72	32.89	2.7e-11	BP
GO:0055085	transmembrane transport	523	79	38.14	4.1e-11	BP
GO:0072521	purine-containing compound metabolic pro...	312	53	22.75	1.9e-09	BP
GO:0006163	purine nucleotide metabolic process	295	51	21.51	2.1e-09	BP
GO:0016054	organic acid catabolic process	134	31	9.77	3.7e-09	BP
GO:0046395	carboxylic acid catabolic process	134	31	9.77	3.7e-09	BP
GO:0006753	nucleoside phosphate metabolic process	394	61	28.73	4.2e-09	BP
GO:0006839	mitochondrial transport	150	33	10.94	4.4e-09	BP
GO:0009117	nucleotide metabolic process	386	60	28.15	5.0e-09	BP
GO:0006790	sulfur compound metabolic process	191	38	13.93	5.7e-09	BP
GO:0009150	purine ribonucleotide metabolic process	280	47	20.42	2.6e-08	BP
GO:0034220	ion transmembrane transport	373	56	27.2	6.3e-08	BP
GO:0009063	cellular amino acid catabolic process	73	20	5.32	1.3e-07	BP
GO:0045333	cellular respiration	123	27	8.97	1.3e-07	BP
GO:0046034	ATP metabolic process	181	34	13.2	1.7e-07	BP
GO:0009259	ribonucleotide metabolic process	298	47	21.73	1.9e-07	BP
GO:1901617	organic hydroxy compound biosynthetic pr...	118	26	8.61	2.0e-07	BP
GO:0006119	oxidative phosphorylation	89	22	6.49	2.2e-07	BP
GO:0045471	response to ethanol	105	24	7.66	2.9e-07	BP
GO:0006091	generation of precursor metabolites and ...	293	46	21.37	3.0e-07	BP
GO:0009060	aerobic respiration	64	18	4.67	3.5e-07	BP
GO:0042026	protein refolding	25	11	1.82	4.7e-07	BP
GO:0006099	tricarboxylic acid cycle	30	12	2.19	4.9e-07	BP
GO:0044282	small molecule catabolic process	208	36	15.17	6.0e-07	BP
GO:0022857	transmembrane transporter activity	357	61	26.75	1.8e-10	MF
GO:0016491	oxidoreductase activity	343	58	25.7	8.5e-10	MF
GO:0022804	active transmembrane transporter activit...	181	35	13.56	9.5e-08	MF
GO:0005215	transporter activity	446	62	33.42	4.9e-07	MF
GO:0043177	organic acid binding	58	17	4.35	5.7e-07	MF
GO:0036094	small molecule binding	605	77	45.33	6.3e-07	MF
GO:0015075	ion transmembrane transporter activity	261	42	19.56	1.0e-06	MF
GO:0031406	carboxylic acid binding	57	16	4.27	2.3e-06	MF
GO:0003824	catalytic activity	2650	237	198.55	2.9e-06	MF
GO:0043168	anion binding	657	79	49.23	4.5e-06	MF
GO:0043167	ion binding	969	106	72.6	6.1e-06	MF
GO:0016597	amino acid binding	31	11	2.32	7.7e-06	MF
GO:0000166	nucleotide binding	510	64	38.21	1.2e-05	MF
GO:1901265	nucleoside phosphate binding	511	64	38.29	1.2e-05	MF
GO:0031249	denatured protein binding	6	5	0.45	1.3e-05	MF
GO:0022853	active ion transmembrane transporter act...	121	23	9.07	2.3e-05	MF
GO:0020037	heme binding	14	7	1.05	2.7e-05	MF
GO:0015399	primary active transmembrane transporter...	101	20	7.57	4.2e-05	MF
GO:0004185	serine-type carboxypeptidase activity	7	5	0.52	4.2e-05	MF
GO:0051059	NF-kappaB binding	15	7	1.12	4.7e-05	MF
GO:0055131	C3HC4-type RING finger domain binding	11	6	0.82	5.7e-05	MF
GO:0015318	inorganic molecular entity transmembrane...	242	35	18.13	9.0e-05	MF
GO:0009055	electron transfer activity	46	12	3.45	9.7e-05	MF
GO:0070008	serine-type exopeptidase activity	8	5	0.6	0.00011	MF
GO:0005388	calcium transmembrane transporter activi...	17	7	1.27	0.00013	MF
GO:0046906	tetrapyrrole binding	17	7	1.27	0.00013	MF
GO:0097718	disordered domain specific binding	17	7	1.27	0.00013	MF
GO:0008236	serine-type peptidase activity	62	14	4.65	0.00014	MF
GO:0017171	serine hydrolase activity	70	15	5.24	0.00015	MF
GO:0005509	calcium ion binding	81	16	6.07	0.00026	MF
